iter	Passed	Remaining
453	754	907
454	755	904
455	755	901
456	756	898
457	757	896
458	757	893
459	758	890
460	759	887
461	759	884
462	760	882
463	761	879
464	761	876
465	762	873
466	764	872
467	766	871
468	767	868
469	768	866
470	770	865
471	771	862
472	771	860
473	772	857
474	773	855
475	774	852
476	775	850
477	776	848
478	777	845
479	778	843
480	780	842
481	781	840
482	782	837
483	783	835
484	784	832
485	785	830
486	785	827
487	786	825
488	787	822
489	788	820
490	789	817
491	789	815
492	790	812
493	791	810
494	792	808
495	792	805
496	793	803
497	795	801
498	796	799
499	796	796
500	797	794
501	798	792
502	799	789
503	799	787
504	800	784
505	801	782
506	802	780
507	803	777
508	803	775
509	804	773
510	805	770
511	806	768
512	807	766
513	807	763
514	810	763
515	812	761
516	813	759
517	813	757
518	814	755
519	815	752
520	816	750
521	817	748
522	817	745
523	818	743
524	819	741
525	820	739
526	820	736
527	821	734
528	822	732
529	823	729
530	824	727
531	825	726
532	826	723
533	827	721
534	827	719
535	828	717
536	829	715
537	830	712
538	831	710
539	831	708
540	832	706
541	833	704
542	834	702
543	834	699
544	835	697
545	836	695
546	837	693
547	838	691
548	839	689
549	841	688
550	842	686
551	843	684
552	843	682
553	845	680
554	845	678
555	846	676
556	847	673
557	848	671
558	849	669
559	849	667
560	850	665
561	851	663
562	852	661
563	853	659
564	856	659
565	858	657
566	858	655
567	859	653
568	860	651
569	861	649
570	862	647
571	862	645
572	863	643
573	864	641
574	865	639
575	865	637
576	866	635
577	867	633
578	868	631
579	869	629
580	871	628
581	872	626
582	873	624
583	874	623
584	875	621
585	876	618
586	876	617
587	877	615
588	878	613
589	879	611
590	880	609
591	880	607
592	881	605
593	882	603
594	883	601
595	884	599
596	885	597
597	886	596
598	887	594
599	888	592
600	889	590
601	890	588
602	890	586
603	891	584
604	892	582
605	893	580
606	894	579
607	895	577
608	896	575
609	896	573
610	897	571
611	898	569
612	899	567
613	902	567
614	903	565
615	904	563
616	905	561
617	905	559
618	906	558
619	907	556
620	908	554
621	908	552
622	909	550
623	910	548
624	911	546
625	912	544
626	912	543
627	913	541
628	914	539
629	917	538
630	918	537
631	919	535
632	920	533
633	920	531
634	921	529
635	922	528
636	923	526
637	924	524
638	925	522
639	926	520
640	926	519
641	927	517
642	928	515
643	929	513
644	931	512
645	932	511
646	933	509
647	934	507
648	935	505
649	936	504
650	937	502
651	938	500
652	938	498
653	939	497
654	940	495
655	941	493
656	941	491
657	942	489
658	943	488
659	943	486
660	944	484
661	946	483
662	947	481
663	948	480
664	949	478
665	950	476
666	951	475
667	952	473
668	953	471
669	953	469
670	954	468
671	955	466
672	956	464
673	956	462
674	957	460
675	958	459
676	958	457
677	959	455
678	962	454
679	964	453
680	965	452
681	966	450
682	967	448
683	967	447
684	968	445
685	969	443
686	970	442
687	971	440
688	972	438
689	972	437
690	973	435
691	974	433
692	974	431
693	976	430
694	977	428
695	978	427
696	979	425
697	980	424
698	981	422
699	982	420
700	982	419
701	983	417
702	984	415
703	985	414
704	986	412
705	986	411
706	987	409
707	988	407
708	989	406
709	990	404
710	994	404
711	995	402
712	996	400
713	996	399
714	997	397
715	998	396
716	999	394
717	1000	392
718	1001	391
719	1001	389
720	1002	388
721	1003	386
722	1004	384
723	1005	383
724	1005	381
725	1006	379
726	1007	378
727	1008	376
728	1009	375
729	1010	373
730	1011	372
731	1012	370
732	1012	368
733	1013	367
734	1014	365
735	1015	364
736	1015	362
737	1016	360
738	1017	359
739	1017	357
740	1018	356
741	1019	354
742	1020	352
743	1021	351
744	1023	350
745	1024	348
746	1025	347
747	1026	345
748	1026	344
749	1027	342
750	1028	341
751	1029	339
752	1030	337
753	1030	336
754	1031	334
755	1032	333
756	1032	331
757	1033	329
758	1034	328
759	1034	326
760	1035	325
761	1036	323
762	1038	322
763	1039	321
764	1040	319
765	1041	318
766	1041	316
767	1042	314
768	1043	313
769	1044	311
770	1044	310
771	1045	308
772	1046	307
773	1047	305
774	1048	304
775	1049	302
776	1050	301
777	1051	300
778	1052	298
779	1054	297
780	1055	296
781	1056	294
782	1057	293
783	1058	291
784	1058	289
785	1059	288
786	1060	286
787	1060	285
788	1061	283
789	1062	282
790	1063	280
791	1063	279
792	1064	277
793	1065	276
794	1066	274
795	1066	273
796	1067	272
797	1069	270
798	1070	269
799	1070	267
800	1071	266
801	1072	264
802	1073	263
803	1074	261
804	1075	260
805	1075	258
806	1076	257
807	1077	255
808	1077	254
809	1078	253
810	1079	251
811	1080	250
812	1080	248
813	1081	247
814	1082	245
815	1085	244
816	1086	243
817	1086	241
818	1087	240
819	1088	238
820	1089	237
821	1089	236
822	1090	234
823	1091	233
824	1092	231
825	1092	230
826	1093	228
827	1094	227
828	1095	225
829	1095	224
830	1096	222
831	1097	221
832	1098	220
833	1099	218
834	1100	217
835	1101	216
836	1102	214
837	1103	213
838	1103	211
839	1104	210
840	1105	208
841	1106	207
842	1106	206
843	1107	204
844	1108	203
845	1108	201
846	1109	200
847	1110	199
848	1111	197
849	1112	196
850	1112	194
851	1114	193
852	1115	192
853	1116	190
854	1117	189
855	1118	188
856	1118	186
857	1119	185
858	1120	183
859	1121	182
860	1122	181
861	1122	179
862	1123	178
863	1124	176
864	1124	175
865	1125	174
866	1126	172
867	1126	171
868	1127	169
869	1128	168
870	1130	167
871	1131	166
872	1131	164
873	1132	163
874	1133	161
875	1134	160
876	1134	159
877	1135	157
878	1136	156
879	1137	155
880	1138	153
881	1139	152
882	1139	151
883	1140	149
884	1141	148
885	1141	146
886	1142	145
887	1143	144
888	1144	142
889	1146	141
890	1147	140
891	1148	139
892	1149	137
893	1150	136
894	1150	135
895	1151	133
896	1152	132
897	1153	130
898	1153	129
899	1154	128
900	1155	126
901	1155	125
902	1156	124
903	1157	122
904	1157	121
905	1158	120
906	1160	118
907	1161	117
908	1162	116
909	1162	115
910	1163	113
911	1164	112
912	1165	111
913	1165	109
914	1166	108
915	1167	107
916	1168	105
917	1168	104
918	1169	103
919	1170	101
920	1170	100
921	1171	99
922	1172	97
923	1173	96
924	1173	95
925	1175	93
926	1176	92
927	1178	91
928	1178	90
929	1179	88
930	1180	87
931	1181	86
932	1182	84
933	1183	83
934	1184	82
935	1184	81
936	1185	79
937	1186	78
938	1187	77
939	1187	75
940	1188	74
941	1189	73
942	1190	71
943	1191	70
944	1192	69
945	1193	68
946	1194	66
947	1194	65
948	1195	64
949	1196	62
950	1197	61
951	1198	60
952	1198	59
953	1199	57
954	1200	56
955	1201	55
956	1201	54
957	1202	52
958	1203	51
959	1204	50
960	1205	48
961	1206	47
962	1207	46
963	1208	45
964	1209	43
965	1210	42
966	1211	41
967	1212	40
968	1212	38
969	1213	37
970	1214	36
971	1214	34
972	1215	33
973	1216	32
974	1216	31
975	1217	29
976	1218	28
977	1219	27
978	1221	26
979	1222	24
980	1223	23
981	1224	22
982	1225	21
983	1225	19
984	1226	18
985	1227	17
986	1228	16
987	1229	14
988	1230	13
989	1230	12
990	1231	11
991	1232	9
992	1233	8
993	1233	7
994	1234	6
995	1237	4
996	1238	3
997	1239	2
998	1240	1
999	1241	0
